wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
69.5,0.436085,0.977941,0.995629,0.995809,-0.042748,0.995629
70.5,0.406623,0.976481,0.995295,0.995477,-0.040208,0.995295
71.5,0.392864,0.975528,0.995009,0.995196,-0.038957,0.995009
72.5,0.382932,0.974349,0.994724,0.994901,-0.034754,0.994724
73.5,0.359128,0.972424,0.994452,0.994631,-0.033363,0.994452
74.5,0.346798,0.970695,0.99425,0.994412,-0.029023,0.99425
75.5,0.349756,0.969405,0.994049,0.994166,-0.020169,0.994049
76.5,0.334904,0.96916,0.993752,0.993847,-0.01547,0.993752
77.5,0.331223,0.969439,0.993441,0.993506,-0.009996,0.993441
78.5,0.324855,0.969509,0.99318,0.993244,-0.009511,0.99318
79.5,0.318554,0.968938,0.992892,0.992953,-0.00867,0.992892
80.5,0.318076,0.967587,0.992624,0.992653,-0.003853,0.992624
81.5,0.306077,0.965972,0.992276,0.992332,-0.007213,0.992276
82.5,0.29983,0.964382,0.991911,0.991973,-0.007753,0.991911
83.5,0.290652,0.962763,0.991572,0.991687,-0.013802,0.991572
84.5,0.283879,0.960811,0.991231,0.991432,-0.023436,0.991231
85.5,0.268091,0.9589,0.990924,0.991139,-0.024269,0.990924
86.5,0.249818,0.956765,0.990564,0.990763,-0.021513,0.990564
87.5,0.233964,0.954489,0.990145,0.990226,-0.008239,0.990145
88.5,0.235281,0.952744,0.989566,0.989586,-0.001969,0.989566
89.5,0.232913,0.950762,0.988774,0.988906,-0.011868,0.988774
90.5,0.224558,0.948901,0.987918,0.988235,-0.026876,0.987918
91.5,0.226666,0.947274,0.987161,0.987623,-0.037366,0.987161
92.5,0.207072,0.945314,0.986601,0.987101,-0.038708,0.986601
93.5,0.192351,0.944053,0.986145,0.986681,-0.040213,0.986145
94.5,0.184879,0.942236,0.985568,0.986099,-0.038182,0.985568
95.5,0.191716,0.941132,0.984948,0.985371,-0.028909,0.984948
96.5,0.186446,0.939073,0.984132,0.984309,-0.011228,0.984132
97.5,0.172677,0.936506,0.983363,0.983194,0.010072,0.983363
98.5,0.166467,0.932603,0.982515,0.981628,0.048292,0.982515
99.5,0.155938,0.928228,0.981696,0.979681,0.099138,0.981696
100.5,0.150875,0.924492,0.980739,0.976887,0.166674,0.980739
101.5,0.149116,0.922233,0.979888,0.972969,0.255974,0.979888
102.5,0.145616,0.920738,0.979441,0.967684,0.36382,0.979441
103.5,0.13659,0.919246,0.978787,0.959994,0.469755,0.978787
104.5,0.138872,0.917807,0.978188,0.949456,0.568447,0.978188
105.5,0.129412,0.915679,0.977528,0.93527,0.652843,0.652843
106.5,0.132341,0.914228,0.976882,0.917426,0.720031,0.720031
